Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
18:04.9,622,1749,2195,1535,287,155,4.006256745,3.878437944,1.672366252,26.9614743,12.66596509,24.11153787,27.80169599,15.84612631,22.76431897,163.0383054
18:04.9,618,1746,2192,1535,285,157,4.006256745,3.878437944,1.672366252,26.9614743,12.66596509,24.11153787,27.80169599,15.84612631,22.76431897,163.0383054
18:04.9,620,1746,2186,1535,286,155,4.006256745,3.878437944,1.672366252,26.9614743,12.66596509,24.11153787,27.80169599,15.84612631,22.76431897,163.0383054
18:04.9,618,1744,2193,1535,287,155,4.037317133,3.919152867,1.716368097,26.97194984,12.65892897,24.12405499,27.81269728,15.85145254,22.76595656,163.0125606
18:04.9,619,1748,2193,1535,286,160,4.037317133,3.919152867,1.716368097,26.97194984,12.65892897,24.12405499,27.81269728,15.85145254,22.76595656,163.0125606
18:04.9,613,1737,2192,1557,288,151,4.037317133,3.919152867,1.716368097,26.97194984,12.65892897,24.12405499,27.81269728,15.85145254,22.76595656,163.0125606
18:04.9,611,1744,2190,1564,288,151,4.066460587,3.959783643,1.76448386,26.98455746,12.65158931,24.13931913,27.8239616,15.85309787,22.77060272,162.9897166
18:04.9,615,1741,2188,1563,285,155,4.066460587,3.959783643,1.76448386,26.98455746,12.65158931,24.13931913,27.8239616,15.85309787,22.77060272,162.9897166
18:04.9,619,1744,2185,1563,287,154,4.066460587,3.959783643,1.76448386,26.98455746,12.65158931,24.13931913,27.8239616,15.85309787,22.77060272,162.9897166
18:04.9,618,1738,2192,1569,289,156,4.066460587,3.959783643,1.76448386,26.98455746,12.65158931,24.13931913,27.8239616,15.85309787,22.77060272,162.9897166
18:04.9,619,1742,2186,1566,289,151,4.093199229,4.000062887,1.81636482,26.99849847,12.64438999,24.15603546,27.83494688,15.85143961,22.77740888,162.9710349
18:04.9,612,1740,2192,1566,288,154,4.093199229,4.000062887,1.81636482,26.99849847,12.64438999,24.15603546,27.83494688,15.85143961,22.77740888,162.9710349
18:04.9,608,1741,2183,1571,289,158,4.093199229,4.000062887,1.81636482,26.99849847,12.64438999,24.15603546,27.83494688,15.85143961,22.77740888,162.9710349
18:05.0,609,1739,2181,1569,288,150,4.115680113,4.038515682,1.871614361,27.01273811,12.6377728,24.17278823,27.84432117,15.84538776,22.78566108,162.9520981
18:05.0,617,1731,2175,1571,288,153,4.115680113,4.038515682,1.871614361,27.01273811,12.6377728,24.17278823,27.84432117,15.84538776,22.78566108,162.9520981
18:05.0,613,1729,2187,1567,289,155,4.115680113,4.038515682,1.871614361,27.01273811,12.6377728,24.17278823,27.84432117,15.84538776,22.78566108,162.9520981
18:05.0,617,1730,2187,1572,288,155,4.115680113,4.038515682,1.871614361,27.01273811,12.6377728,24.17278823,27.84432117,15.84538776,22.78566108,162.9520981
18:05.0,615,1734,2182,1573,289,151,4.13340835,4.075201709,1.929277636,27.02620062,12.63192874,24.18829756,27.85210641,15.83521114,22.79531702,162.9303292
18:05.0,613,1732,2181,1575,288,154,4.13340835,4.075201709,1.929277636,27.02620062,12.63192874,24.18829756,27.85210641,15.83521114,22.79531702,162.9303292
18:05.0,613,1721,2179,1575,290,155,4.13340835,4.075201709,1.929277636,27.02620062,12.63192874,24.18829756,27.85210641,15.83521114,22.79531702,162.9303292
18:05.0,611,1726,2181,1575,286,155,4.147417955,4.111629936,1.988717611,27.03807723,12.62687725,24.20176221,27.8591758,15.82238326,22.80649143,162.9048284
18:05.0,611,1723,2181,1578,288,155,4.147417955,4.111629936,1.988717611,27.03807723,12.62687725,24.20176221,27.8591758,15.82238326,22.80649143,162.9048284
18:05.0,611,1727,2187,1571,291,154,4.147417955,4.111629936,1.988717611,27.03807723,12.62687725,24.20176221,27.8591758,15.82238326,22.80649143,162.9048284
18:05.0,605,1725,2181,1579,288,151,4.147417955,4.111629936,1.988717611,27.03807723,12.62687725,24.20176221,27.8591758,15.82238326,22.80649143,162.9048284
