Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
18:45.1,508,1603,2429,2261,1037,154,9.111762635,0.461999487,9.101320338,34.38521648,14.0266031,31.29694746,26.14265371,13.56533702,22.24559251,160.8570107
18:45.1,507,1595,2431,2262,1035,155,9.111762635,0.461999487,9.101320338,34.38521648,14.0266031,31.29694746,26.14265371,13.56533702,22.24559251,160.8570107
18:45.1,501,1579,2430,2265,1039,150,9.166968717,0.573392846,9.161492243,34.41767303,14.03090213,31.33221847,26.11150629,13.49058226,22.25189341,160.7977281
18:45.1,505,1577,2429,2265,1040,157,9.166968717,0.573392846,9.161492243,34.41767303,14.03090213,31.33221847,26.11150629,13.49058226,22.25189341,160.7977281
18:45.1,501,1571,2435,2267,1039,154,9.166968717,0.573392846,9.161492243,34.41767303,14.03090213,31.33221847,26.11150629,13.49058226,22.25189341,160.7977281
18:45.1,501,1574,2423,2271,1037,150,9.202803763,0.740137121,9.207542205,34.43795609,14.03343117,31.35509661,26.08402001,13.41497336,22.26638385,160.7357553
18:45.1,498,1567,2431,2266,1039,151,9.202803763,0.740137121,9.207542205,34.43795609,14.03343117,31.35509661,26.08402001,13.41497336,22.26638385,160.7357553
18:45.1,502,1567,2427,2249,1040,151,9.202803763,0.740137121,9.207542205,34.43795609,14.03343117,31.35509661,26.08402001,13.41497336,22.26638385,160.7357553
18:45.1,501,1561,2431,2269,1034,146,9.202803763,0.740137121,9.207542205,34.43795609,14.03343117,31.35509661,26.08402001,13.41497336,22.26638385,160.7357553
18:45.1,499,1535,2431,2266,1033,154,9.221581912,0.927528556,9.241413912,34.44601383,14.03336335,31.36593527,26.05926566,13.34018985,22.28654005,160.6744329
18:45.1,503,1535,2427,2266,1023,155,9.221581912,0.927528556,9.241413912,34.44601383,14.03336335,31.36593527,26.05926566,13.34018985,22.28654005,160.6744329
18:45.1,500,1535,2427,2272,1023,154,9.221581912,0.927528556,9.241413912,34.44601383,14.03336335,31.36593527,26.05926566,13.34018985,22.28654005,160.6744329
18:45.1,496,1535,2419,2267,1031,154,9.224938141,1.120347062,9.264269328,34.44228754,14.03038894,31.36536779,26.03681065,13.26699274,22.31094039,160.6153347
18:45.1,499,1535,2423,2265,1023,152,9.224938141,1.120347062,9.264269328,34.44228754,14.03038894,31.36536779,26.03681065,13.26699274,22.31094039,160.6153347
