Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
01:42.0,511,2187,2429,1907,317,186,11.47367728,7.139243864,13.39767116,36.74322445,15.75898533,33.045307,28.0143155,18.98762775,20.93061413,163.9964409
01:42.0,509,2186,2425,1910,317,183,11.47367728,7.139243864,13.39767116,36.74322445,15.75898533,33.045307,28.0143155,18.98762775,20.93061413,163.9964409
01:42.0,510,2187,2423,1904,319,186,11.42122575,7.019449098,13.25866597,36.71821775,15.69695042,33.04584759,28.11407567,19.00442364,21.00385128,163.9792644
01:42.0,511,2193,2425,1903,317,182,11.42122575,7.019449098,13.25866597,36.71821775,15.69695042,33.04584759,28.11407567,19.00442364,21.00385128,163.9792644
01:42.0,511,2190,2423,1904,320,186,11.42122575,7.019449098,13.25866597,36.71821775,15.69695042,33.04584759,28.11407567,19.00442364,21.00385128,163.9792644
01:42.0,511,2191,2418,1904,318,182,11.34712888,6.85089392,13.07302749,36.68050412,15.66140757,33.01977839,28.21949452,19.01876789,21.07352719,164.014996
01:42.0,528,2201,2418,1899,319,182,11.34712888,6.85089392,13.07302749,36.68050412,15.66140757,33.01977839,28.21949452,19.01876789,21.07352719,164.014996
01:42.0,528,2205,2423,1894,314,186,11.34712888,6.85089392,13.07302749,36.68050412,15.66140757,33.01977839,28.21949452,19.01876789,21.07352719,164.014996
01:42.0,528,2199,2421,1893,317,186,11.34712888,6.85089392,13.07302749,36.68050412,15.66140757,33.01977839,28.21949452,19.01876789,21.07352719,164.014996
01:42.0,528,2209,2426,1891,317,184,11.33026341,6.718170101,12.93544892,36.65410985,15.63185948,33.00145084,28.34610703,19.11076998,21.10635392,164.3527627
01:42.0,526,2206,2416,1892,317,186,11.33026341,6.718170101,12.93544892,36.65410985,15.63185948,33.00145084,28.34610703,19.11076998,21.10635392,164.3527627
01:42.0,530,2210,2417,1893,314,183,11.33026341,6.718170101,12.93544892,36.65410985,15.63185948,33.00145084,28.34610703,19.11076998,21.10635392,164.3527627
01:42.0,533,2205,2421,1892,318,183,11.35576338,6.581661057,12.8189,36.64748132,15.59447205,33.01023531,28.47428211,19.20582626,21.12989295,164.4445437
01:42.0,530,2206,2418,1874,315,183,11.35576338,6.581661057,12.8189,36.64748132,15.59447205,33.01023531,28.47428211,19.20582626,21.12989295,164.4445437
01:42.0,538,2208,2419,1874,315,183,11.35576338,6.581661057,12.8189,36.64748132,15.59447205,33.01023531,28.47428211,19.20582626,21.12989295,164.4445437
01:42.0,537,2206,2416,1872,321,186,11.35576338,6.581661057,12.8189,36.64748132,15.59447205,33.01023531,28.47428211,19.20582626,21.12989295,164.4445437
01:42.0,535,2213,2419,1881,318,185,11.45966304,6.434621001,12.76019215,36.70477907,15.57616738,33.08362355,28.59698432,19.29761136,21.13698796,164.4786492
01:42.0,539,2207,2416,1869,318,182,11.45966304,6.434621001,12.76019215,36.70477907,15.57616738,33.08362355,28.59698432,19.29761136,21.13698796,164.4786492
01:42.0,535,2203,2417,1872,318,183,11.45966304,6.434621001,12.76019215,36.70477907,15.57616738,33.08362355,28.59698432,19.29761136,21.13698796,164.4786492
01:42.1,539,2205,2419,1877,318,186,11.59312058,6.268816462,12.70763479,36.73527607,15.53116516,33.13777773,28.68098244,19.37399572,21.11466107,164.563007
01:42.1,535,2198,2416,1856,317,183,11.59312058,6.268816462,12.70763479,36.73527607,15.53116516,33.13777773,28.68098244,19.37399572,21.11466107,164.563007
01:42.1,532,2202,2416,1860,315,181,11.59312058,6.268816462,12.70763479,36.73527607,15.53116516,33.13777773,28.68098244,19.37399572,21.11466107,164.563007
01:42.1,536,2203,2421,1862,315,183,11.59312058,6.268816462,12.70763479,36.73527607,15.53116516,33.13777773,28.68098244,19.37399572,21.11466107,164.563007
01:42.1,537,2199,2414,1858,315,182,11.77351497,6.150198329,12.69816543,36.77628274,15.49492296,33.20030884,28.77534428,19.50164878,21.06597632,164.6786216
01:42.1,535,2195,2415,1855,317,182,11.77351497,6.150198329,12.69816543,36.77628274,15.49492296,33.20030884,28.77534428,19.50164878,21.06597632,164.6786216
01:42.1,535,2202,2419,1859,319,182,11.77351497,6.150198329,12.69816543,36.77628274,15.49492296,33.20030884,28.77534428,19.50164878,21.06597632,164.6786216
01:42.1,538,2198,2411,1856,314,179,11.99395509,6.066770026,12.72783806,36.83827719,15.4699184,33.28179381,28.87330927,19.65659936,21.0050749,164.7925927
01:42.1,533,2187,2405,1856,318,182,11.99395509,6.066770026,12.72783806,36.83827719,15.4699184,33.28179381,28.87330927,19.65659936,21.0050749,164.7925927
01:42.1,530,2182,2413,1856,315,180,11.99395509,6.066770026,12.72783806,36.83827719,15.4699184,33.28179381,28.87330927,19.65659936,21.0050749,164.7925927
01:42.1,534,2177,2415,1856,316,182,11.99395509,6.066770026,12.72783806,36.83827719,15.4699184,33.28179381,28.87330927,19.65659936,21.0050749,164.7925927
01:42.1,531,2182,2412,1856,319,181,12.20751301,6.001933974,12.73498016,36.89330961,15.47550876,33.34146176,29.00574973,19.86520998,20.9489639,164.9404287
01:42.1,529,2181,2412,1855,317,179,12.20751301,6.001933974,12.73498016,36.89330961,15.47550876,33.34146176,29.00574973,19.86520998,20.9489639,164.9404287
01:42.1,529,2175,2412,1858,315,178,12.20751301,6.001933974,12.73498016,36.89330961,15.47550876,33.34146176,29.00574973,19.86520998,20.9489639,164.9404287
01:42.1,530,2167,2411,1856,317,181,12.46199306,5.949965091,12.79190865,36.96640384,15.47567427,33.4235732,29.09935262,20.04883663,20.87858099,164.9801135
01:42.1,526,2155,2403,1875,318,181,12.46199306,5.949965091,12.79190865,36.96640384,15.47567427,33.4235732,29.09935262,20.04883663,20.87858099,164.9801135
01:42.1,527,2158,2399,1881,320,178,12.46199306,5.949965091,12.79190865,36.96640384,15.47567427,33.4235732,29.09935262,20.04883663,20.87858099,164.9801135
01:42.1,511,2158,2400,1882,320,180,12.46199306,5.949965091,12.79190865,36.96640384,15.47567427,33.4235732,29.09935262,20.04883663,20.87858099,164.9801135
