Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
22:19.5,897,2167,2251,1226,299,159,4.236827928,5.017712356,3.29341441,29.17042278,11.99786173,26.59531006,26.49759858,7.313578915,25.44222892,160.5036089
22:19.5,893,2171,2245,1225,302,156,4.236827928,5.017712356,3.29341441,29.17042278,11.99786173,26.59531006,26.49759858,7.313578915,25.44222892,160.5036089
22:19.5,895,2169,2243,1221,298,158,4.211960236,4.999689208,3.234249214,29.16641914,11.99162544,26.5908758,26.56959304,7.315544223,25.5158863,160.4460957
22:19.5,894,2162,2241,1223,300,157,4.211960236,4.999689208,3.234249214,29.16641914,11.99162544,26.5908758,26.56959304,7.315544223,25.5158863,160.4460957
22:19.5,891,2169,2244,1218,298,154,4.211960236,4.999689208,3.234249214,29.16641914,11.99162544,26.5908758,26.56959304,7.315544223,25.5158863,160.4460957
22:19.5,894,2162,2251,1218,300,157,4.176419506,4.982199491,3.199655672,29.1630569,11.98339442,26.58868542,26.63881919,7.326208409,25.58487351,160.3936685
22:19.5,892,2170,2252,1222,298,155,4.176419506,4.982199491,3.199655672,29.1630569,11.98339442,26.58868542,26.63881919,7.326208409,25.58487351,160.3936685
22:19.5,895,2171,2247,1203,294,156,4.176419506,4.982199491,3.199655672,29.1630569,11.98339442,26.58868542,26.63881919,7.326208409,25.58487351,160.3936685
22:19.5,903,2176,2247,1200,298,158,4.176419506,4.982199491,3.199655672,29.1630569,11.98339442,26.58868542,26.63881919,7.326208409,25.58487351,160.3936685
22:19.5,902,2170,2245,1203,297,157,4.132420281,4.966597135,3.18909266,29.16074737,11.97337573,26.58900578,26.70352728,7.343692084,25.6479252,160.3445574
22:19.5,903,2176,2243,1196,297,157,4.132420281,4.966597135,3.18909266,29.16074737,11.97337573,26.58900578,26.70352728,7.343692084,25.6479252,160.3445574
22:19.5,905,2173,2246,1193,295,157,4.132420281,4.966597135,3.18909266,29.16074737,11.97337573,26.58900578,26.70352728,7.343692084,25.6479252,160.3445574
22:19.5,900,2177,2246,1198,297,157,4.082503986,4.953922351,3.200564074,29.15975399,11.96138985,26.59210676,26.76175916,7.365873114,25.7036575,160.2958879
22:19.5,907,2170,2250,1196,295,155,4.082503986,4.953922351,3.200564074,29.15975399,11.96138985,26.59210676,26.76175916,7.365873114,25.7036575,160.2958879
22:19.5,910,2171,2242,1184,295,157,4.082503986,4.953922351,3.200564074,29.15975399,11.96138985,26.59210676,26.76175916,7.365873114,25.7036575,160.2958879
22:19.5,911,2176,2240,1182,295,157,4.082503986,4.953922351,3.200564074,29.15975399,11.96138985,26.59210676,26.76175916,7.365873114,25.7036575,160.2958879
22:19.5,905,2167,2239,1175,295,156,4.028800578,4.944744075,3.231314665,29.16075816,11.94800557,26.59840377,26.81243008,7.391874081,25.75123723,160.2467629
22:19.5,901,2166,2240,1175,294,157,4.028800578,4.944744075,3.231314665,29.16075816,11.94800557,26.59840377,26.81243008,7.391874081,25.75123723,160.2467629
22:19.5,901,2169,2235,1177,293,156,4.028800578,4.944744075,3.231314665,29.16075816,11.94800557,26.59840377,26.81243008,7.391874081,25.75123723,160.2467629
22:19.5,902,2167,2238,1173,297,155,3.972360288,4.938805976,3.278208647,29.16465599,11.93403397,26.6084336,26.8557422,7.422078182,25.79080264,160.1990788
22:19.5,903,2167,2235,1173,294,155,3.972360288,4.938805976,3.278208647,29.16465599,11.93403397,26.6084336,26.8557422,7.422078182,25.79080264,160.1990788
22:19.5,900,2160,2235,1163,294,155,3.972360288,4.938805976,3.278208647,29.16465599,11.93403397,26.6084336,26.8557422,7.422078182,25.79080264,160.1990788
22:19.5,900,2160,2236,1168,297,157,3.972360288,4.938805976,3.278208647,29.16465599,11.93403397,26.6084336,26.8557422,7.422078182,25.79080264,160.1990788
22:19.6,899,2165,2238,1167,297,156,3.913739334,4.93560668,3.338125942,29.17173724,11.9195047,26.62254366,26.8922631,7.456240488,25.82299537,160.1545951
22:19.6,900,2160,2231,1165,295,155,3.913739334,4.93560668,3.338125942,29.17173724,11.9195047,26.62254366,26.8922631,7.456240488,25.82299537,160.1545951
22:19.6,895,2160,2235,1167,294,155,3.913739334,4.93560668,3.338125942,29.17173724,11.9195047,26.62254366,26.8922631,7.456240488,25.82299537,160.1545951
22:19.6,897,2160,2237,1167,291,155,3.85383492,4.935347159,3.408537668,29.18180486,11.90408963,26.64065043,26.92268701,7.493275202,25.8488526,160.1129075
22:19.6,895,2160,2231,1168,298,157,3.85383492,4.935347159,3.408537668,29.18180486,11.90408963,26.64065043,26.92268701,7.493275202,25.8488526,160.1129075
22:19.6,893,2153,2227,1169,290,155,3.85383492,4.935347159,3.408537668,29.18180486,11.90408963,26.64065043,26.92268701,7.493275202,25.8488526,160.1129075
