Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
54:48.2,2799,2721,525,1087,285,181,14.91049944,63.41254614,61.54579752,29.56879057,11.55549902,29.13638927,34.17341269,55.98579319,66.34732818,76.55715853
54:48.2,2799,2723,528,1087,283,180,14.91049944,63.41254614,61.54579752,29.56879057,11.55549902,29.13638927,34.17341269,55.98579319,66.34732818,76.55715853
54:48.2,2798,2730,510,1089,279,178,14.96732633,63.45720914,61.57186172,29.58271586,11.57677988,29.15590167,34.18455055,56.01217673,66.3645728,76.55791103
54:48.2,2800,2725,511,1102,283,179,14.96732633,63.45720914,61.57186172,29.58271586,11.57677988,29.15590167,34.18455055,56.01217673,66.3645728,76.55791103
54:48.2,2795,2719,511,1099,278,176,14.96732633,63.45720914,61.57186172,29.58271586,11.57677988,29.15590167,34.18455055,56.01217673,66.3645728,76.55791103
54:48.2,2798,2720,511,1099,283,182,14.96732633,63.45720914,61.57186172,29.58271586,11.57677988,29.15590167,34.18455055,56.01217673,66.3645728,76.55791103
54:48.2,2800,2725,511,1092,285,179,15.0068402,63.55252382,61.65190334,29.57109413,11.62183519,29.16451687,34.15251909,56.04144469,66.36357437,76.57894849
54:48.2,2793,2721,508,1104,285,177,15.0068402,63.55252382,61.65190334,29.57109413,11.62183519,29.16451687,34.15251909,56.04144469,66.36357437,76.57894849
54:48.2,2800,2721,511,1104,283,178,15.0068402,63.55252382,61.65190334,29.57109413,11.62183519,29.16451687,34.15251909,56.04144469,66.36357437,76.57894849
54:48.2,2798,2721,511,1106,281,183,15.04289217,63.69524625,61.78239718,29.55460993,11.6780875,29.17246491,34.1193286,56.09874634,66.39140487,76.62590367
54:48.2,2792,2725,510,1117,283,177,15.04289217,63.69524625,61.78239718,29.55460993,11.6780875,29.17246491,34.1193286,56.09874634,66.39140487,76.62590367
54:48.2,2790,2723,511,1119,289,176,15.04289217,63.69524625,61.78239718,29.55460993,11.6780875,29.17246491,34.1193286,56.09874634,66.39140487,76.62590367
54:48.2,2791,2716,511,1123,285,178,15.04289217,63.69524625,61.78239718,29.55460993,11.6780875,29.17246491,34.1193286,56.09874634,66.39140487,76.62590367
54:48.2,2790,2717,511,1121,284,177,15.10456262,63.84082074,61.90294798,29.56964803,11.72381821,29.2167201,34.07904793,56.16475621,66.4210271,76.69108942
54:48.2,2791,2719,511,1123,274,150,15.10456262,63.84082074,61.90294798,29.56964803,11.72381821,29.2167201,34.07904793,56.16475621,66.4210271,76.69108942
54:48.2,2788,2727,507,1124,285,177,15.10456262,63.84082074,61.90294798,29.56964803,11.72381821,29.2167201,34.07904793,56.16475621,66.4210271,76.69108942
54:48.2,2797,2721,511,1127,279,176,15.10456262,63.84082074,61.90294798,29.56964803,11.72381821,29.2167201,34.07904793,56.16475621,66.4210271,76.69108942
54:48.2,2794,2719,507,1143,278,176,15.16025732,63.98607235,62.02750379,29.5579688,11.79655192,29.22615926,34.04655107,56.22600019,66.44225684,76.75620416
54:48.2,2797,2722,506,1149,286,177,15.16025732,63.98607235,62.02750379,29.5579688,11.79655192,29.22615926,34.04655107,56.22600019,66.44225684,76.75620416
54:48.2,2796,2722,508,1149,287,177,15.16025732,63.98607235,62.02750379,29.5579688,11.79655192,29.22615926,34.04655107,56.22600019,66.44225684,76.75620416
54:48.2,2789,2723,510,1151,288,168,15.16025732,63.98607235,62.02750379,29.5579688,11.79655192,29.22615926,34.04655107,56.22600019,66.44225684,76.75620416
54:48.3,2797,2721,503,1151,281,178,15.25479309,64.15377283,62.15890603,29.56069464,11.84155874,29.25773122,33.99064348,56.32364811,66.48031436,76.83333723
54:48.3,2797,2721,502,1150,292,176,15.25479309,64.15377283,62.15890603,29.56069464,11.84155874,29.25773122,33.99064348,56.32364811,66.48031436,76.83333723
54:48.3,2799,2723,501,1154,295,177,15.34142213,64.38850775,62.36071138,29.54832296,11.89697122,29.27616958,33.91419709,56.47472165,66.55806783,76.96678091
54:48.3,2797,2721,497,1184,284,176,15.34142213,64.38850775,62.36071138,29.54832296,11.89697122,29.27616958,33.91419709,56.47472165,66.55806783,76.96678091
54:48.3,2797,2722,497,1181,287,176,15.34142213,64.38850775,62.36071138,29.54832296,11.89697122,29.27616958,33.91419709,56.47472165,66.55806783,76.96678091
