Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
25:09.6,721,2309,2307,1273,290,169,3.062359486,3.356465807,1.82175658,27.04386567,12.44284698,24.44232833,29.22759832,14.50885251,25.31588282,165.6494065
25:09.6,720,2310,2305,1274,289,169,3.062359486,3.356465807,1.82175658,27.04386567,12.44284698,24.44232833,29.22759832,14.50885251,25.31588282,165.6494065
25:09.6,720,2313,2304,1269,289,167,3.062359486,3.356465807,1.82175658,27.04386567,12.44284698,24.44232833,29.22759832,14.50885251,25.31588282,165.6494065
25:09.6,720,2307,2306,1273,288,171,3.05447294,3.347336923,1.808340535,27.04697745,12.44437007,24.44413149,29.21915213,14.50921942,25.30677726,165.642535
25:09.6,727,2319,2314,1273,290,167,3.05447294,3.347336923,1.808340535,27.04697745,12.44437007,24.44413149,29.21915213,14.50921942,25.30677726,165.642535
25:09.6,720,2307,2306,1278,291,170,3.05447294,3.347336923,1.808340535,27.04697745,12.44437007,24.44413149,29.21915213,14.50921942,25.30677726,165.642535
25:09.6,723,2304,2304,1277,289,167,3.05447294,3.347336923,1.808340535,27.04697745,12.44437007,24.44413149,29.21915213,14.50921942,25.30677726,165.642535
25:09.6,720,2304,2306,1278,289,167,3.049907466,3.341008249,1.794243221,27.04975879,12.44579486,24.4456345,29.21195519,14.51302191,25.29707218,165.6383807
25:09.6,720,2309,2302,1286,288,166,3.049907466,3.341008249,1.794243221,27.04975879,12.44579486,24.4456345,29.21195519,14.51302191,25.29707218,165.6383807
25:09.6,720,2302,2303,1280,289,167,3.048642094,3.337741215,1.779791848,27.05256944,12.44638492,24.44766728,29.20611367,14.51932288,25.28739557,165.637011
25:09.6,705,2307,2306,1281,288,169,3.048642094,3.337741215,1.779791848,27.05256944,12.44638492,24.44766728,29.20611367,14.51932288,25.28739557,165.637011
25:09.6,719,2307,2304,1279,289,167,3.048642094,3.337741215,1.779791848,27.05256944,12.44638492,24.44766728,29.20611367,14.51932288,25.28739557,165.637011
25:09.6,720,2307,2304,1280,288,166,3.048642094,3.337741215,1.779791848,27.05256944,12.44638492,24.44766728,29.20611367,14.51932288,25.28739557,165.637011
25:09.6,715,2303,2304,1287,288,169,3.050106385,3.337203566,1.765617525,27.05577146,12.44623054,24.4507046,29.20186746,14.52728954,25.27851333,165.6379579
25:09.6,719,2305,2302,1291,295,165,3.050106385,3.337203566,1.765617525,27.05577146,12.44623054,24.4507046,29.20186746,14.52728954,25.27851333,165.6379579
25:09.6,713,2310,2304,1287,291,167,3.050106385,3.337203566,1.765617525,27.05577146,12.44623054,24.4507046,29.20186746,14.52728954,25.27851333,165.6379579
25:09.6,710,2305,2303,1291,291,169,3.050106385,3.337203566,1.765617525,27.05577146,12.44623054,24.4507046,29.20186746,14.52728954,25.27851333,165.6379579
25:09.6,712,2304,2302,1287,289,170,3.052829189,3.338465809,1.752632298,27.05937376,12.44583276,24.45457642,29.19853999,14.53560159,25.27039095,165.6392626
25:09.6,715,2304,2303,1292,289,169,3.052829189,3.338465809,1.752632298,27.05937376,12.44583276,24.45457642,29.19853999,14.53560159,25.27039095,165.6392626
25:09.6,713,2304,2298,1293,289,167,3.052829189,3.338465809,1.752632298,27.05937376,12.44583276,24.45457642,29.19853999,14.53560159,25.27039095,165.6392626
25:09.6,715,2299,2305,1296,290,170,3.055634035,3.340641166,1.741299979,27.06296956,12.44579804,24.45848516,29.19520745,14.54359934,25.26232669,165.6389773
25:09.6,711,2304,2299,1296,289,167,3.055634035,3.340641166,1.741299979,27.06296956,12.44579804,24.45848516,29.19520745,14.54359934,25.26232669,165.6389773
25:09.6,713,2301,2304,1296,289,165,3.055634035,3.340641166,1.741299979,27.06296956,12.44579804,24.45848516,29.19520745,14.54359934,25.26232669,165.6389773
25:09.6,711,2303,2300,1298,289,171,3.055634035,3.340641166,1.741299979,27.06296956,12.44579804,24.45848516,29.19520745,14.54359934,25.26232669,165.6389773
25:09.6,711,2302,2303,1296,289,169,3.059475167,3.344479485,1.731097992,27.06627092,12.4463787,24.4618172,29.19188387,14.55283031,25.25337634,165.6380661
25:09.6,716,2303,2303,1297,289,170,3.059475167,3.344479485,1.731097992,27.06627092,12.4463787,24.4618172,29.19188387,14.55283031,25.25337634,165.6380661
25:09.6,711,2302,2298,1297,290,168,3.059475167,3.344479485,1.731097992,27.06627092,12.4463787,24.4618172,29.19188387,14.55283031,25.25337634,165.6380661
25:09.7,706,2307,2302,1299,291,169,3.066159911,3.351984223,1.721597321,27.06894989,12.44687959,24.46445256,29.18821787,14.56471977,25.2421572,165.6386805
25:09.7,710,2299,2299,1299,289,165,3.066159911,3.351984223,1.721597321,27.06894989,12.44687959,24.46445256,29.18821787,14.56471977,25.2421572,165.6386805
25:09.7,703,2302,2295,1299,289,170,3.066159911,3.351984223,1.721597321,27.06894989,12.44687959,24.46445256,29.18821787,14.56471977,25.2421572,165.6386805
25:09.7,703,2303,2301,1299,289,167,3.066159911,3.351984223,1.721597321,27.06894989,12.44687959,24.46445256,29.18821787,14.56471977,25.2421572,165.6386805
25:09.7,705,2301,2298,1298,289,167,3.075577548,3.363743761,1.713408851,27.07065998,12.44674387,24.4663043,29.18301411,14.5784566,25.22763404,165.6403746
25:09.7,704,2300,2292,1300,287,170,3.075577548,3.363743761,1.713408851,27.07065998,12.44674387,24.4663043,29.18301411,14.5784566,25.22763404,165.6403746
25:09.7,703,2299,2299,1299,288,166,3.075577548,3.363743761,1.713408851,27.07065998,12.44674387,24.4663043,29.18301411,14.5784566,25.22763404,165.6403746
25:09.7,702,2301,2299,1301,291,171,3.086289029,3.378913418,1.707259498,27.07128846,12.44665644,24.46702468,29.17503929,14.59304113,25.20895971,165.6413073
25:09.7,704,2302,2295,1306,293,169,3.086289029,3.378913418,1.707259498,27.07128846,12.44665644,24.46702468,29.17503929,14.59304113,25.20895971,165.6413073
25:09.7,704,2293,2302,1301,289,167,3.086289029,3.378913418,1.707259498,27.07128846,12.44665644,24.46702468,29.17503929,14.59304113,25.20895971,165.6413073
25:09.7,698,2294,2299,1301,290,169,3.086289029,3.378913418,1.707259498,27.07128846,12.44665644,24.46702468,29.17503929,14.59304113,25.20895971,165.6413073
25:09.7,701,2293,2301,1301,289,165,3.097320534,3.396850965,1.703247042,27.0709495,12.44798544,24.46631892,29.16332784,14.60878925,25.18493295,165.6405866
25:09.7,704,2294,2295,1303,292,170,3.097320534,3.396850965,1.703247042,27.0709495,12.44798544,24.46631892,29.16332784,14.60878925,25.18493295,165.6405866
25:09.7,699,2294,2301,1306,289,169,3.097320534,3.396850965,1.703247042,27.0709495,12.44798544,24.46631892,29.16332784,14.60878925,25.18493295,165.6405866
25:09.7,698,2292,2298,1310,289,168,3.108487301,3.417564776,1.701049415,27.07021736,12.45139131,24.46447751,29.1472966,14.62642744,25.15443353,165.6382531
25:09.7,699,2294,2299,1312,291,169,3.108487301,3.417564776,1.701049415,27.07021736,12.45139131,24.46447751,29.1472966,14.62642744,25.15443353,165.6382531
25:09.7,697,2297,2294,1311,288,167,3.108487301,3.417564776,1.701049415,27.07021736,12.45139131,24.46447751,29.1472966,14.62642744,25.15443353,165.6382531
25:09.7,702,2295,2301,1308,288,167,3.120177239,3.441654309,1.700730013,27.06962465,12.45708343,24.46222835,29.12648102,14.64644978,25.11666186,165.6352638
25:09.7,695,2295,2298,1312,289,163,3.120177239,3.441654309,1.700730013,27.06962465,12.45708343,24.46222835,29.12648102,14.64644978,25.11666186,165.6352638
25:09.7,694,2294,2293,1314,289,166,3.120177239,3.441654309,1.700730013,27.06962465,12.45708343,24.46222835,29.12648102,14.64644978,25.11666186,165.6352638
25:09.7,698,2293,2302,1313,290,166,3.120177239,3.441654309,1.700730013,27.06962465,12.45708343,24.46222835,29.12648102,14.64644978,25.11666186,165.6352638
25:09.7,693,2295,2293,1321,293,167,3.132819726,3.469427632,1.702922588,27.06932726,12.46466912,24.45999138,29.10084544,14.66858609,25.07170818,165.6318697
25:09.7,693,2295,2289,1327,289,165,3.132819726,3.469427632,1.702922588,27.06932726,12.46466912,24.45999138,29.10084544,14.66858609,25.07170818,165.6318697
25:09.7,694,2289,2298,1325,291,168,3.132819726,3.469427632,1.702922588,27.06932726,12.46466912,24.45999138,29.10084544,14.66858609,25.07170818,165.6318697
25:09.7,695,2293,2295,1328,291,169,3.146409775,3.500323413,1.707971766,27.06850027,12.47372342,24.4571528,29.06967678,14.69213548,25.01925429,165.6266742
25:09.7,697,2295,2295,1327,291,167,3.146409775,3.500323413,1.707971766,27.06850027,12.47372342,24.4571528,29.06967678,14.69213548,25.01925429,165.6266742
25:09.7,694,2291,2295,1326,288,169,3.146409775,3.500323413,1.707971766,27.06850027,12.47372342,24.4571528,29.06967678,14.69213548,25.01925429,165.6266742
25:09.7,692,2290,2295,1328,292,165,3.146409775,3.500323413,1.707971766,27.06850027,12.47372342,24.4571528,29.06967678,14.69213548,25.01925429,165.6266742
25:09.7,689,2287,2294,1341,290,167,3.160171409,3.533377211,1.716448706,27.06608454,12.48446792,24.4523764,29.03109918,14.71641117,24.95754833,165.6169709
25:09.7,689,2286,2288,1343,290,167,3.160171409,3.533377211,1.716448706,27.06608454,12.48446792,24.4523764,29.03109918,14.71641117,24.95754833,165.6169709
25:09.7,689,2288,2288,1344,290,167,3.160171409,3.533377211,1.716448706,27.06608454,12.48446792,24.4523764,29.03109918,14.71641117,24.95754833,165.6169709
25:09.7,689,2298,2294,1347,291,166,3.176726377,3.570204466,1.728058152,27.06153609,12.4972483,24.44494098,28.98526664,14.74430875,24.88506066,165.6056523
