Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
25:44.3,726,2129,2240,1430,281,171,4.349654795,4.777114864,3.075256939,26.65092577,12.78688879,24.06116627,27.3838185,15.52864936,22.43785495,160.4760496
25:44.3,735,2139,2234,1432,279,168,4.349654795,4.777114864,3.075256939,26.65092577,12.78688879,24.06116627,27.3838185,15.52864936,22.43785495,160.4760496
25:44.3,737,2131,2231,1433,283,165,4.356840351,4.777356895,3.078199785,26.66240126,12.7774244,24.07109093,27.38544861,15.52876706,22.43845478,160.4842609
25:44.3,727,2134,2233,1433,278,167,4.356840351,4.777356895,3.078199785,26.66240126,12.7774244,24.07109093,27.38544861,15.52876706,22.43845478,160.4842609
25:44.3,732,2135,2240,1428,283,168,4.356840351,4.777356895,3.078199785,26.66240126,12.7774244,24.07109093,27.38544861,15.52876706,22.43845478,160.4842609
25:44.3,731,2128,2234,1431,281,167,4.356840351,4.777356895,3.078199785,26.66240126,12.7774244,24.07109093,27.38544861,15.52876706,22.43845478,160.4842609
25:44.3,731,2131,2235,1425,279,167,4.367383816,4.772765922,3.071378046,26.67443426,12.76596213,24.0818463,27.38756719,15.53346108,22.43705823,160.497837
25:44.3,733,2131,2239,1430,280,163,4.367383816,4.772765922,3.071378046,26.67443426,12.76596213,24.0818463,27.38756719,15.53346108,22.43705823,160.497837
25:44.3,733,2137,2229,1428,277,167,4.367383816,4.772765922,3.071378046,26.67443426,12.76596213,24.0818463,27.38756719,15.53346108,22.43705823,160.497837
25:44.3,733,2136,2235,1426,282,167,4.383593298,4.76575695,3.056230303,26.68704304,12.75247627,24.09346755,27.39068881,15.54453267,22.43290048,160.5199495
25:44.3,734,2137,2237,1431,279,167,4.383593298,4.76575695,3.056230303,26.68704304,12.75247627,24.09346755,27.39068881,15.54453267,22.43290048,160.5199495
25:44.3,731,2131,2240,1433,281,166,4.383593298,4.76575695,3.056230303,26.68704304,12.75247627,24.09346755,27.39068881,15.54453267,22.43290048,160.5199495
25:44.3,727,2135,2240,1429,282,167,4.383593298,4.76575695,3.056230303,26.68704304,12.75247627,24.09346755,27.39068881,15.54453267,22.43290048,160.5199495
25:44.3,735,2138,2231,1432,283,167,4.40726804,4.758668344,3.035348194,26.69989567,12.73678082,24.10601686,27.39403238,15.562397,22.4246507,160.551821
25:44.3,725,2142,2240,1430,279,169,4.40726804,4.758668344,3.035348194,26.69989567,12.73678082,24.10601686,27.39403238,15.562397,22.4246507,160.551821
25:44.3,730,2134,2235,1431,283,163,4.40726804,4.758668344,3.035348194,26.69989567,12.73678082,24.10601686,27.39403238,15.562397,22.4246507,160.551821
25:44.3,726,2139,2234,1431,282,163,4.437878274,4.751941756,3.011379207,26.71286837,12.71901014,24.11947015,27.39592836,15.58555351,22.4112553,160.5909617
25:44.3,730,2137,2237,1437,279,170,4.437878274,4.751941756,3.011379207,26.71286837,12.71901014,24.11947015,27.39592836,15.58555351,22.4112553,160.5909617
25:44.3,730,2131,2240,1437,283,166,4.437878274,4.751941756,3.011379207,26.71286837,12.71901014,24.11947015,27.39592836,15.58555351,22.4112553,160.5909617
25:44.3,730,2139,2243,1443,281,172,4.473739664,4.745355021,2.986888141,26.72592326,12.69998803,24.13354195,27.39496284,15.61219198,22.39218791,160.6333838
25:44.3,726,2135,2238,1442,281,167,4.473739664,4.745355021,2.986888141,26.72592326,12.69998803,24.13354195,27.39496284,15.61219198,22.39218791,160.6333838
25:44.3,726,2139,2243,1442,277,166,4.473739664,4.745355021,2.986888141,26.72592326,12.69998803,24.13354195,27.39496284,15.61219198,22.39218791,160.6333838
25:44.3,725,2131,2249,1441,281,167,4.473739664,4.745355021,2.986888141,26.72592326,12.69998803,24.13354195,27.39496284,15.61219198,22.39218791,160.6333838
25:44.3,725,2138,2250,1439,282,163,4.513411509,4.73912182,2.9641316,26.73893984,12.68026111,24.14801584,27.39047138,15.64066694,22.36770289,160.6756559
25:44.3,723,2138,2255,1445,279,176,4.513411509,4.73912182,2.9641316,26.73893984,12.68026111,24.14801584,27.39047138,15.64066694,22.36770289,160.6756559
25:44.3,725,2137,2247,1446,279,162,4.513411509,4.73912182,2.9641316,26.73893984,12.68026111,24.14801584,27.39047138,15.64066694,22.36770289,160.6756559
