Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
06:10.9,609,2240,2521,1866,400,221,10.84770636,7.026798871,12.40769514,34.8756606,13.11059104,32.41416787,27.4090261,18.70991621,22.2634847,166.2918285
06:10.9,611,2234,2517,1866,400,223,10.84770636,7.026798871,12.40769514,34.8756606,13.11059104,32.41416787,27.4090261,18.70991621,22.2634847,166.2918285
06:10.9,610,2233,2517,1863,400,221,10.94739945,6.898604629,12.35364044,34.90068025,13.10786175,32.44416428,27.46906884,18.71051724,22.18551193,166.5189161
06:10.9,611,2231,2512,1869,399,223,10.94739945,6.898604629,12.35364044,34.90068025,13.10786175,32.44416428,27.46906884,18.71051724,22.18551193,166.5189161
06:10.9,611,2229,2513,1862,400,221,10.94739945,6.898604629,12.35364044,34.90068025,13.10786175,32.44416428,27.46906884,18.71051724,22.18551193,166.5189161
06:10.9,592,2195,2513,1891,399,221,10.94739945,6.898604629,12.35364044,34.90068025,13.10786175,32.44416428,27.46906884,18.71051724,22.18551193,166.5189161
06:10.9,592,2205,2512,1895,400,221,11.08924536,6.792046083,12.32242665,34.93407469,13.09966469,32.48473672,27.54598239,18.74402189,22.08692144,166.7612456
06:10.9,592,2199,2510,1903,400,221,11.08924536,6.792046083,12.32242665,34.93407469,13.09966469,32.48473672,27.54598239,18.74402189,22.08692144,166.7612456
06:10.9,591,2192,2509,1905,400,219,11.08924536,6.792046083,12.32242665,34.93407469,13.09966469,32.48473672,27.54598239,18.74402189,22.08692144,166.7612456
06:10.9,589,2201,2512,1906,400,218,11.26955447,6.713849427,12.31157916,34.97414561,13.08770577,32.53350615,27.64123105,18.8126621,21.97172588,167.0134851
06:10.9,586,2189,2512,1910,402,214,11.26955447,6.713849427,12.31157916,34.97414561,13.08770577,32.53350615,27.64123105,18.8126621,21.97172588,167.0134851
06:10.9,586,2186,2512,1911,400,218,11.26955447,6.713849427,12.31157916,34.97414561,13.08770577,32.53350615,27.64123105,18.8126621,21.97172588,167.0134851
06:10.9,567,2157,2509,1966,405,218,11.26955447,6.713849427,12.31157916,34.97414561,13.08770577,32.53350615,27.64123105,18.8126621,21.97172588,167.0134851
06:10.9,566,2147,2507,1967,405,219,11.48411045,6.670946121,12.31794022,35.01876857,13.07373441,32.58766046,27.75606463,18.91819721,21.84408072,167.2700386
06:10.9,565,2142,2510,1968,405,215,11.48411045,6.670946121,12.31794022,35.01876857,13.07373441,32.58766046,27.75606463,18.91819721,21.84408072,167.2700386
06:10.9,565,2145,2510,1969,406,213,11.48411045,6.670946121,12.31794022,35.01876857,13.07373441,32.58766046,27.75606463,18.91819721,21.84408072,167.2700386
06:10.9,565,2141,2510,1975,407,215,11.72983948,6.669033483,12.33865756,35.06605822,13.05819363,32.64499347,27.89043097,19.05993072,21.7070748,167.5246564
06:10.9,560,2130,2503,1978,410,218,11.72983948,6.669033483,12.33865756,35.06605822,13.05819363,32.64499347,27.89043097,19.05993072,21.7070748,167.5246564
06:10.9,560,2128,2500,1981,410,217,11.72983948,6.669033483,12.33865756,35.06605822,13.05819363,32.64499347,27.89043097,19.05993072,21.7070748,167.5246564
06:10.9,551,2083,2503,2025,418,213,11.72983948,6.669033483,12.33865756,35.06605822,13.05819363,32.64499347,27.89043097,19.05993072,21.7070748,167.5246564
06:10.9,548,2085,2509,2027,417,214,12.00468244,6.712399265,12.37060754,35.11450209,13.04129836,32.7038025,28.04450772,19.23674934,21.56322902,167.7722113
06:10.9,549,2080,2502,2032,420,215,12.00468244,6.712399265,12.37060754,35.11450209,13.04129836,32.7038025,28.04450772,19.23674934,21.56322902,167.7722113
06:10.9,544,2074,2498,2037,420,214,12.00468244,6.712399265,12.37060754,35.11450209,13.04129836,32.7038025,28.04450772,19.23674934,21.56322902,167.7722113
06:10.9,543,2067,2503,2039,419,215,12.3069603,6.804702635,12.41053356,35.16336734,13.02342967,32.76317115,28.21944917,19.4479976,21.41562796,168.0114205
06:10.9,545,2062,2497,2039,426,215,12.3069603,6.804702635,12.41053356,35.16336734,13.02342967,32.76317115,28.21944917,19.4479976,21.41562796,168.0114205
06:10.9,544,2062,2497,2041,423,215,12.3069603,6.804702635,12.41053356,35.16336734,13.02342967,32.76317115,28.21944917,19.4479976,21.41562796,168.0114205
06:10.9,530,2000,2495,2084,433,211,12.63507341,6.949323148,12.45556948,35.21182673,13.00483943,32.82214715,28.41620048,19.69323322,21.2674223,168.2420505
06:10.9,528,1998,2495,2083,433,212,12.63507341,6.949323148,12.45556948,35.21182673,13.00483943,32.82214715,28.41620048,19.69323322,21.2674223,168.2420505
06:10.9,528,1995,2495,2087,435,214,12.63507341,6.949323148,12.45556948,35.21182673,13.00483943,32.82214715,28.41620048,19.69323322,21.2674223,168.2420505
06:10.9,528,1989,2490,2093,437,215,12.63507341,6.949323148,12.45556948,35.21182673,13.00483943,32.82214715,28.41620048,19.69323322,21.2674223,168.2420505
06:10.9,529,1981,2487,2096,439,214,12.98837871,7.149187085,12.50369433,35.25833915,12.9850811,32.87924928,28.63461342,19.97186191,21.12052449,168.4628364
06:10.9,527,1980,2495,2096,438,214,12.98837871,7.149187085,12.50369433,35.25833915,12.9850811,32.87924928,28.63461342,19.97186191,21.12052449,168.4628364
06:10.9,525,1968,2491,2096,440,213,12.98837871,7.149187085,12.50369433,35.25833915,12.9850811,32.87924928,28.63461342,19.97186191,21.12052449,168.4628364
06:10.9,511,1919,2481,2127,454,210,13.36993875,7.407922533,12.55570982,35.30192912,12.96391745,32.9335936,28.87438652,20.28543337,20.97453945,168.6748361
06:10.9,510,1913,2484,2125,451,211,13.36993875,7.407922533,12.55570982,35.30192912,12.96391745,32.9335936,28.87438652,20.28543337,20.97453945,168.6748361
06:10.9,507,1904,2480,2128,455,212,13.36993875,7.407922533,12.55570982,35.30192912,12.96391745,32.9335936,28.87438652,20.28543337,20.97453945,168.6748361
06:10.9,509,1902,2480,2125,454,215,13.36993875,7.407922533,12.55570982,35.30192912,12.96391745,32.9335936,28.87438652,20.28543337,20.97453945,168.6748361
06:11.0,509,1904,2481,2128,454,213,13.78467589,7.730165104,12.61511116,35.34190186,12.94162791,32.98438767,29.13503432,20.63759766,20.82761402,168.8775133
06:11.0,510,1883,2480,2133,459,210,13.78467589,7.730165104,12.61511116,35.34190186,12.94162791,32.98438767,29.13503432,20.63759766,20.82761402,168.8775133
06:11.0,508,1884,2479,2130,462,213,13.78467589,7.730165104,12.61511116,35.34190186,12.94162791,32.98438767,29.13503432,20.63759766,20.82761402,168.8775133
06:11.0,502,1825,2475,2160,468,211,14.23585883,8.117936745,12.68581079,35.37837581,12.91865223,33.03160777,29.41553552,21.0305508,20.67906707,169.0652853
06:11.0,498,1815,2474,2160,469,212,14.23585883,8.117936745,12.68581079,35.37837581,12.91865223,33.03160777,29.41553552,21.0305508,20.67906707,169.0652853
06:11.0,501,1810,2475,2165,473,214,14.23585883,8.117936745,12.68581079,35.37837581,12.91865223,33.03160777,29.41553552,21.0305508,20.67906707,169.0652853
06:11.0,499,1806,2479,2162,473,211,14.23585883,8.117936745,12.68581079,35.37837581,12.91865223,33.03160777,29.41553552,21.0305508,20.67906707,169.0652853
06:11.0,499,1803,2465,2170,475,212,14.72627467,8.57065338,12.7707893,35.41267655,12.89513348,33.07686746,29.71576974,21.4650708,20.5301173,169.2357917
06:11.0,500,1799,2475,2166,475,210,14.72627467,8.57065338,12.7707893,35.41267655,12.89513348,33.07686746,29.71576974,21.4650708,20.5301173,169.2357917
06:11.0,496,1793,2471,2176,478,211,14.72627467,8.57065338,12.7707893,35.41267655,12.89513348,33.07686746,29.71576974,21.4650708,20.5301173,169.2357917
06:11.0,494,1733,2452,2201,485,210,15.25969315,9.089239898,12.87172381,35.4456338,12.87065709,33.12142659,30.03767668,21.94339179,20.38248023,169.3942498
06:11.0,495,1730,2456,2204,487,210,15.25969315,9.089239898,12.87172381,35.4456338,12.87065709,33.12142659,30.03767668,21.94339179,20.38248023,169.3942498
06:11.0,495,1727,2461,2210,491,213,15.25969315,9.089239898,12.87172381,35.4456338,12.87065709,33.12142659,30.03767668,21.94339179,20.38248023,169.3942498
06:11.0,494,1715,2459,2213,488,213,15.83960513,9.676525838,12.98903405,35.47653029,12.84452161,33.16490837,30.3843166,22.46928923,20.23824809,169.5463043
06:11.0,491,1712,2455,2208,490,211,15.83960513,9.676525838,12.98903405,35.47653029,12.84452161,33.16490837,30.3843166,22.46928923,20.23824809,169.5463043
06:11.0,493,1710,2457,2214,492,211,15.83960513,9.676525838,12.98903405,35.47653029,12.84452161,33.16490837,30.3843166,22.46928923,20.23824809,169.5463043
06:11.0,491,1706,2451,2209,491,211,15.83960513,9.676525838,12.98903405,35.47653029,12.84452161,33.16490837,30.3843166,22.46928923,20.23824809,169.5463043
06:11.0,484,1637,2442,2234,497,210,16.46707296,10.33412536,13.1226247,35.50454925,12.81611155,33.20689694,30.75864123,23.04574802,20.10114134,169.6892044
06:11.0,487,1638,2442,2236,500,213,16.46707296,10.33412536,13.1226247,35.50454925,12.81611155,33.20689694,30.75864123,23.04574802,20.10114134,169.6892044
06:11.0,483,1631,2439,2245,499,209,16.46707296,10.33412536,13.1226247,35.50454925,12.81611155,33.20689694,30.75864123,23.04574802,20.10114134,169.6892044
06:11.0,483,1622,2433,2245,502,210,17.14342154,11.06230529,13.27356194,35.530524,12.78567244,33.2485005,31.16409409,23.67579155,19.97497315,169.8175103
06:11.0,480,1619,2443,2242,503,209,17.14342154,11.06230529,13.27356194,35.530524,12.78567244,33.2485005,31.16409409,23.67579155,19.97497315,169.8175103
06:11.0,485,1616,2435,2242,506,214,17.14342154,11.06230529,13.27356194,35.530524,12.78567244,33.2485005,31.16409409,23.67579155,19.97497315,169.8175103
06:11.0,481,1611,2438,2249,508,210,17.14342154,11.06230529,13.27356194,35.530524,12.78567244,33.2485005,31.16409409,23.67579155,19.97497315,169.8175103
06:11.0,480,1530,2420,2266,534,210,17.87171172,11.86049386,13.44408951,35.5557495,12.75334877,33.29127415,31.60293134,24.36129886,19.86207952,169.9301765
06:11.0,477,1525,2419,2271,535,210,17.87171172,11.86049386,13.44408951,35.5557495,12.75334877,33.29127415,31.60293134,24.36129886,19.86207952,169.9301765
06:11.0,480,1517,2422,2274,538,213,17.87171172,11.86049386,13.44408951,35.5557495,12.75334877,33.29127415,31.60293134,24.36129886,19.86207952,169.9301765
06:11.0,477,1513,2419,2277,538,210,18.65583539,12.72863626,13.6367083,35.58054146,12.71865584,33.33579704,32.07610903,25.10344325,19.76391564,170.0312086
06:11.0,481,1501,2418,2276,541,210,18.65583539,12.72863626,13.6367083,35.58054146,12.71865584,33.33579704,32.07610903,25.10344325,19.76391564,170.0312086
06:11.0,479,1494,2419,2281,542,212,18.65583539,12.72863626,13.6367083,35.58054146,12.71865584,33.33579704,32.07610903,25.10344325,19.76391564,170.0312086
