Time_angle,s1,s2,s3,s4,s5,s6,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10
57:35.5,566,2077,2448,1788,354,189,10.29949136,0.774283494,10.31016321,34.39693278,11.85355993,32.48214493,24.82475087,11.18573854,22.20350992,165.9489884
57:35.5,565,2092,2446,1789,355,187,10.29949136,0.774283494,10.31016321,34.39693278,11.85355993,32.48214493,24.82475087,11.18573854,22.20350992,165.9489884
57:35.5,562,2080,2437,1773,352,189,10.29949136,0.774283494,10.31016321,34.39693278,11.85355993,32.48214493,24.82475087,11.18573854,22.20350992,165.9489884
57:35.5,562,2079,2439,1776,351,189,10.32168888,0.780732567,10.33378561,34.38131843,11.76077189,32.50527379,24.78149046,11.09547481,22.20305424,165.9607273
57:35.5,564,2070,2437,1770,352,187,10.32168888,0.780732567,10.33378561,34.38131843,11.76077189,32.50527379,24.78149046,11.09547481,22.20305424,165.9607273
57:35.5,561,2068,2442,1773,351,186,10.32168888,0.780732567,10.33378561,34.38131843,11.76077189,32.50527379,24.78149046,11.09547481,22.20305424,165.9607273
57:35.5,566,2069,2442,1773,351,185,10.32168888,0.780732567,10.33378561,34.38131843,11.76077189,32.50527379,24.78149046,11.09547481,22.20305424,165.9607273
57:35.5,562,2075,2439,1767,350,187,10.3573818,0.793345957,10.36947458,34.40151252,11.70265519,32.55184313,24.75577688,11.02283543,22.21356579,165.9432104
57:35.5,560,2070,2443,1766,352,185,10.3573818,0.793345957,10.36947458,34.40151252,11.70265519,32.55184313,24.75577688,11.02283543,22.21356579,165.9432104
57:35.5,560,2060,2438,1755,352,185,10.44087627,0.822640055,10.45497825,34.45559825,11.6494433,32.63381448,24.72324032,10.95230599,22.21189702,165.9117123
57:35.5,560,2057,2437,1761,351,187,10.44087627,0.822640055,10.45497825,34.45559825,11.6494433,32.63381448,24.72324032,10.95230599,22.21189702,165.9117123
57:35.5,560,2057,2429,1758,350,187,10.44087627,0.822640055,10.45497825,34.45559825,11.6494433,32.63381448,24.72324032,10.95230599,22.21189702,165.9117123
57:35.5,560,2059,2438,1760,351,187,10.44087627,0.822640055,10.45497825,34.45559825,11.6494433,32.63381448,24.72324032,10.95230599,22.21189702,165.9117123
57:35.5,561,2046,2436,1759,351,186,10.44087627,0.822640055,10.45497825,34.45559825,11.6494433,32.63381448,24.72324032,10.95230599,22.21189702,165.9117123
57:35.5,557,2054,2433,1761,351,184,10.49732822,0.850830927,10.51329966,34.49474583,11.61107911,32.68912061,24.70198248,10.89734857,22.21152242,165.8665839
57:35.5,560,2046,2435,1759,350,187,10.49732822,0.850830927,10.51329966,34.49474583,11.61107911,32.68912061,24.70198248,10.89734857,22.21152242,165.8665839
57:35.5,559,2042,2433,1760,352,187,10.49732822,0.850830927,10.51329966,34.49474583,11.61107911,32.68912061,24.70198248,10.89734857,22.21152242,165.8665839
57:35.5,555,2032,2433,1769,350,189,10.52644045,0.805917746,10.54356274,34.45431844,11.70507726,32.63079141,24.67771791,11.05084573,22.11932574,165.9568616
57:35.5,550,2031,2431,1767,352,187,10.52644045,0.805917746,10.54356274,34.45431844,11.70507726,32.63079141,24.67771791,11.05084573,22.11932574,165.9568616
57:35.5,551,2032,2434,1772,350,186,10.58195541,0.829164433,10.60138729,34.5397289,11.56031791,32.75583171,24.69052061,10.90297446,22.19149288,165.8952325
57:35.5,558,2032,2426,1772,351,189,10.58195541,0.829164433,10.60138729,34.5397289,11.56031791,32.75583171,24.69052061,10.90297446,22.19149288,165.8952325
57:35.5,555,2025,2427,1771,351,184,10.58195541,0.829164433,10.60138729,34.5397289,11.56031791,32.75583171,24.69052061,10.90297446,22.19149288,165.8952325
57:35.5,557,2023,2434,1775,351,187,10.58195541,0.829164433,10.60138729,34.5397289,11.56031791,32.75583171,24.69052061,10.90297446,22.19149288,165.8952325
57:35.5,554,2031,2431,1773,350,188,10.58195541,0.829164433,10.60138729,34.5397289,11.56031791,32.75583171,24.69052061,10.90297446,22.19149288,165.8952325
57:35.5,550,2010,2426,1776,352,185,10.59235065,0.849627917,10.61511137,34.55402733,11.52695693,32.78035587,24.69932127,10.87851008,22.20629019,165.8383491
57:35.5,556,2009,2425,1783,352,182,10.59235065,0.849627917,10.61511137,34.55402733,11.52695693,32.78035587,24.69932127,10.87851008,22.20629019,165.8383491
57:35.5,554,2011,2426,1781,352,187,10.59235065,0.849627917,10.61511137,34.55402733,11.52695693,32.78035587,24.69932127,10.87851008,22.20629019,165.8383491
57:35.5,549,2002,2425,1779,352,183,10.60237227,0.884893694,10.62963181,34.57054551,11.51240449,32.80238736,24.71293404,10.86733793,22.21938076,165.7653315
57:35.5,551,2011,2423,1786,351,189,10.60237227,0.884893694,10.62963181,34.57054551,11.51240449,32.80238736,24.71293404,10.86733793,22.21938076,165.7653315
57:35.5,546,2010,2423,1783,352,187,10.60237227,0.884893694,10.62963181,34.57054551,11.51240449,32.80238736,24.71293404,10.86733793,22.21938076,165.7653315
57:35.5,554,2000,2435,1781,352,188,10.60237227,0.884893694,10.62963181,34.57054551,11.51240449,32.80238736,24.71293404,10.86733793,22.21938076,165.7653315
57:35.5,547,1989,2421,1783,352,186,10.60605162,0.915518541,10.63741749,34.58453559,11.49323877,32.82233575,24.72948058,10.85497767,22.2368426,165.6768672
57:35.5,547,1994,2423,1789,353,187,10.60605162,0.915518541,10.63741749,34.58453559,11.49323877,32.82233575,24.72948058,10.85497767,22.2368426,165.6768672
57:35.5,548,1989,2431,1786,350,187,10.60605162,0.915518541,10.63741749,34.58453559,11.49323877,32.82233575,24.72948058,10.85497767,22.2368426,165.6768672
57:35.5,544,1991,2426,1790,350,188,10.60867854,0.956375716,10.64509175,34.60371835,11.45586801,32.85226708,24.74935118,10.8223548,22.26614042,165.5986036
57:35.5,551,1995,2432,1787,351,187,10.60867854,0.956375716,10.64509175,34.60371835,11.45586801,32.85226708,24.74935118,10.8223548,22.26614042,165.5986036
57:35.5,546,1997,2428,1789,351,183,10.60867854,0.956375716,10.64509175,34.60371835,11.45586801,32.85226708,24.74935118,10.8223548,22.26614042,165.5986036
57:35.5,547,1989,2425,1789,351,188,10.60867854,0.956375716,10.64509175,34.60371835,11.45586801,32.85226708,24.74935118,10.8223548,22.26614042,165.5986036
57:35.6,544,1980,2422,1791,349,190,10.60029685,0.977018496,10.63977243,34.64274506,11.44096583,32.89208842,24.80056703,10.81980734,22.31660332,165.5328742
57:35.6,548,1980,2421,1791,352,183,10.60029685,0.977018496,10.63977243,34.64274506,11.44096583,32.89208842,24.80056703,10.81980734,22.31660332,165.5328742
57:35.6,547,1979,2427,1783,349,187,10.60029685,0.977018496,10.63977243,34.64274506,11.44096583,32.89208842,24.80056703,10.81980734,22.31660332,165.5328742
57:35.6,543,1985,2423,1783,351,185,10.60489329,1.056708617,10.65077858,34.6719957,11.40884872,32.93147826,24.80571573,10.7354384,22.35540352,165.3415649
57:35.6,545,1983,2416,1787,350,187,10.60489329,1.056708617,10.65077858,34.6719957,11.40884872,32.93147826,24.80571573,10.7354384,22.35540352,165.3415649
57:35.6,543,1977,2422,1788,351,186,10.60489329,1.056708617,10.65077858,34.6719957,11.40884872,32.93147826,24.80571573,10.7354384,22.35540352,165.3415649
57:35.6,543,1979,2427,1781,350,186,10.60489329,1.056708617,10.65077858,34.6719957,11.40884872,32.93147826,24.80571573,10.7354384,22.35540352,165.3415649
57:35.6,542,1970,2418,1783,351,183,10.61915598,0.98118332,10.66149996,34.71147657,11.3880518,32.97836655,24.86760838,10.81836593,22.38508939,165.4380014
57:35.6,539,1971,2429,1779,351,179,10.61915598,0.98118332,10.66149996,34.71147657,11.3880518,32.97836655,24.86760838,10.81836593,22.38508939,165.4380014
